"experiment";"fitness"
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
"Experiment I elitism one gaussian tournament";0
